,region,region_coord
325,"Leelanau Peninsula, USA","(45.2083328, -85.5417523)"
326,"Calatayud, Spain","(41.3531678, -1.6468455)"
327,"Calaveras County, USA","(38.1960477, -120.6805037)"
328,"Coteaux du Languedoc, France","(43.5747967, 3.4923334)"
329,"Beiras, Portugal","(43.6760776, -79.4556356)"
330,"Langhorne Creek, Australia","(-35.29625559999999, 139.038277)"
331,"Falerno del Massico, Italy","(41.8814741, -87.6246755)"
332,"Greco di Tufo, Italy","(41.0103664, 14.8197596)"
333,"Yarra Valley, Australia","(40.7171441, -74.0441337)"
334,"Fiano di Avellino, Italy","(40.9232653, 14.8318223)"
335,"Vi de la Terra Illes Balears, Spain","(39.5779028, 2.6518509)"
336,"Murgia, Italy","(40.976111, 16.406111)"
337,"Österreichischer Sekt, Austria","(48.198982, 16.3787714)"
338,"Santa Barbara, USA","(34.4208305, -119.6981901)"
339,"Côtes de Bourg, France","(40.7559064, -73.9673248)"
340,"Barbera d'Asti Superiore, Italy","(41.6597893, -91.53151129999999)"
341,"Upper Galilee, Israel","(33.1639839, 35.6314191)"
342,"Leyda Valley, Chile","(-33.61077240000001, -71.4572075)"
343,"Saint-Georges-Saint-Émilion, France","(44.9232085, -0.1353638)"
344,"Vermentino di Sardegna, Italy","(40.8047386, 9.3217278)"
345,"Chiroubles, France","(46.180983, 4.665474)"
346,"Bergerac Sec, France","(44.853806, 0.483392)"
347,"Morgon, France","(46.143967, 4.6782106)"
348,"Jumilla, Spain","(38.4763532, -1.3221865)"
349,"Virginia's Eastern Shore, USA","(37.5397721, -75.8229685)"
350,"Tejo, Portugal","(39.7528442, -5.253228399999999)"
351,"Fronsac, France","(44.924318, -0.2712629)"
352,"Colli Trevigiani, Italy","(None, None)"
353,"Columbia Valley (OR), USA","(48.9220655, -122.1390398)"
354,"Listrac-Médoc, France","(45.073918, -0.793207)"
355,"Epanomi, Greece","(40.4289764, 22.9304174)"
356,"Lussac Saint-Émilion, France","(44.949033, -0.096263)"
357,"Barbera d'Asti, Italy","(40.7366181, -96.702698)"
358,"Nemea, Greece","(37.82133, 22.660998)"
359,"Recioto di Soave, Italy","(45.4215109, 11.2490908)"
360,"Santenay, France","(46.912833, 4.696534)"
361,"Santa Clara Valley, USA","(37.2488478, -121.8399593)"
362,"Gevrey-Chambertin, France","(47.225962, 4.968738999999999)"
363,"Puligny-Montrachet, France","(46.945092, 4.753296)"
364,"Ruché di Castagnole Monferrato, Italy","(44.9624895, 8.304856400000002)"
365,"Valtellina Superiore, Italy","(43.1558415, -77.6043363)"
366,"Oltrepò Pavese, Italy","(44.979406, 9.209409599999999)"
367,"Red Hills Lake County, USA","(38.915595, -122.7566221)"
368,"Moravia, Czech Republic","(49.1950982, 16.6067304)"
369,"Toro, Spain","(41.4540325, -5.414900299999999)"
370,"Slovenia, Slovenia","(46.151241, 14.995463)"
371,"Moulis-en-Médoc, France","(45.06023700000001, -0.7675419)"
372,"Pemberton, Australia","(-34.4446109, 116.0372786)"
373,"Côtes de Bordeaux, France","(44.8404786, -0.5706375)"
374,"South Coast, USA","(33.69100299999999, -117.8889767)"
375,"Sonoma County-Napa County, USA","(38.291859, -122.4580356)"
376,"Mercurey, France","(46.833678, 4.721636999999999)"
377,"Givry, France","(46.78307, 4.742662999999999)"
378,"Buzet, France","(44.258058, 0.298192)"
379,"Juliénas, France","(46.235505, 4.709970999999999)"
380,"Valpolicella Classico Superiore Ripasso, Italy","(40.774632, -73.9805677)"
381,"America, USA","(37.09024, -95.712891)"
382,"Terra degli Osci, Italy","(33.8896535, -117.8156045)"
383,"Beaujolais Rosé, France","(37.8749361, -122.2938006)"
384,"Lambrusco di Modena, Italy","(44.6510984, 10.8586364)"
385,"Montefalco Sagrantino, Italy","(42.88929359999999, 12.6502843)"
386,"Lazio, Italy","(41.6552418, 12.989615)"
387,"Chalk Hill, USA","(39.8441427, -79.616648)"
388,"Chorey-lès-Beaune, France","(47.048887, 4.86904)"
389,"Panciu, Romania","(45.9081087, 27.0905428)"
390,"Marche, Italy","(43.5058744, 12.989615)"
391,"Vin de France, France","(46.9529122, -0.6000291)"
392,"Yountville, USA","(38.40157809999999, -122.3608105)"
393,"Cerasuolo di Vittoria Classico, Italy","(40.7288417, -74.0016444)"
394,"Frankland River, Australia","(-34.3571839, 117.0186215)"
395,"Geographe, Australia","(-33.6376254, 115.3765118)"
396,"Western Australia, Australia","(-27.6728168, 121.6283098)"
397,"Niagara Peninsula, Canada","(43.0808496, -79.1666113)"
398,"Molise, Italy","(41.67388649999999, 14.7520939)"
399,"New Jersey, USA","(40.0583238, -74.4056612)"
400,"Hudson River Region, USA","(42.3788592, -73.7983898)"
401,"Maury Sec, France","(42.811253, 2.593028)"
402,"Côtes du Roussillon Villages Caramany, France","(42.738113, 2.568758)"
403,"Irrouléguy, France","(None, None)"
404,"Mendocino Ridge, USA","(38.8618511, -123.433342)"
405,"Redwood Valley, USA","(39.2652491, -123.2041429)"
406,"Friuli Aquileia, Italy","(45.76816909999999, 13.3687199)"
407,"Cucamonga Valley, USA","(34.0192133, -117.6279752)"
408,"Dunnigan Hills, USA","(38.794346, -121.9552466)"
409,"Portuguese Table Wine, Portugal","(29.5584298, -81.2147627)"
410,"Ile de Beauté, France","(46.4798358, 3.9817055)"
411,"Pays d'Oc, France","(43.5711623, 3.876701599999999)"
412,"Chianti Montespertoli, Italy","(43.64509169999999, 11.080075)"
413,"Anjou Villages Brissac, France","(47.3520619, -0.4569136999999999)"
414,"Fiddletown, USA","(38.5039105, -120.7565689)"
415,"Bonnezeaux, France","(47.276972, -0.485391)"
416,"Bourgogne Hautes Côtes de Nuits, France","(47.1374979, 4.9504852)"
417,"Maranges, France","(46.895502, 4.669665999999999)"
418,"Augusta, USA","(33.4734978, -82.0105148)"
419,"Saint-Bris, France","(47.744005, 3.647396)"
420,"Texas, USA","(31.9685988, -99.9018131)"
421,"New Mexico, USA","(34.5199402, -105.8700901)"
422,"Nevada, USA","(38.8026097, -116.419389)"
423,"Adelaide Plains, Australia","(-34.4471534, 138.4387577)"
424,"Bennett Valley, USA","(38.4404672, -122.6766527)"
425,"Lessona, Italy","(45.58773290000001, 8.1925447)"
426,"Boca, Italy","(45.6855033, 8.4002122)"
427,"Weinviertel, Austria","(40.0192049, -105.2724745)"
428,"Lisboa, Portugal","(38.7222524, -9.1393366)"
429,"Charmes-Chambertin, France","(47.225962, 4.968738999999999)"
430,"Clos de Vougeot, France","(47.1748138, 4.955246)"
431,"Beaune, France","(47.02603000000001, 4.840004)"
432,"Valpolicella Superiore, Italy","(45.5205517, 10.8869911)"
433,"Peumo, Chile","(-34.3921609, -71.1667306)"
434,"Valpolicella Classico Superiore, Italy","(42.364028, -71.055697)"
435,"Südsteiermark, Austria","(46.7754628, 15.5480548)"
436,"Alto Valle del Río Negro, Argentina","(-38.9795565, -67.8280886)"
437,"Prosecco, Italy","(45.7039135, 13.7343214)"
438,"Sonoma-Napa, USA","(38.291859, -122.4580356)"
439,"Paicines, USA","(36.7289127, -121.2788708)"
440,"Colline Pescaresi, Italy","(40.7624381, -73.9772014)"
441,"Sangiovese di Romagna Superiore, Italy","(44.0377762, 11.9948152)"
442,"Thermenregion, Austria","(37.2869611, -121.9430083)"
443,"San Antonio, Chile","(-33.5922807, -71.6055123)"
444,"Empordà, Spain","(42.2755267, 3.0175712)"
445,"Chianti, Italy","(43.5830644, 11.3186815)"
446,"Bucelas, Portugal","(38.9007616, -9.118191699999999)"
447,"Estremadura, Portugal","(39.425684, -8.975415)"
448,"Salice Salentino, Italy","(40.385073, 17.9652521)"
449,"Canterbury, New Zealand","(-43.7542275, 171.1637245)"
450,"Pouilly-Fuissé, France","(None, None)"
451,"Mâcon-Chardonnay, France","(39.7207869, -104.9555716)"
452,"Seneca Lake, USA","(42.6918497, -76.92019200000001)"
453,"Ladoix, France","(47.0740037, 4.8809064)"
